link,title,singer,arousal,valence
spotify:track:4OQq1bcP12GQQXJNupxqfR,again,YUI,0.83,0.494
spotify:track:3ILmwMefYZoQh5Cf5jeuUQ,透明だった世界,Motohiro Hata,0.914,0.56
spotify:track:0FIXr1tM8cbezZPWEnFbga,"Wind - Naruto Ending Theme (From ""Naruto"")",Geek Music,0.376,0.602
spotify:track:4bY2oZGA5Br3pTE1Jd1IfY,月の大きさ,Nogizaka46,0.941,0.813
spotify:track:45jGOHwYKgsRYbAJ8DR61d,ひまわりの約束,Motohiro Hata,0.445,0.336
spotify:track:5RXmLhscstsdvWPN0XtUa0,Black Catcher,VK Blanka,0.885,0.682
spotify:track:0OGw7V8wAI6OsZIQ12JkTP,Black Rover,VK Blanka,0.934,0.537
spotify:track:6C9ZBJEPREKFvY7rY1u5ZW,ハルカミライ,KANKAKU PIERO,0.98,0.408
spotify:track:0YAMQSmHk6BSUGTYpaoqTJ,Wherever you are,ONE OK ROCK,0.69,0.288
spotify:track:36rXRdVigyIu1HA4F31zgf,C.h.a.o.s.m.y.t.h.,ONE OK ROCK,0.901,0.279
spotify:track:6dYJyf6Xti128pAqQBOiYk,Change The World (Inuyasha),Miura Jam,0.885,0.795
spotify:track:1p0WZg4NXoNVGj2AuoLJe7,熱情のスペクトラム,Ikimonogakari,0.902,0.748
spotify:track:3KwDeGfyQB9xihdr9Mrj7u,今まで何度も,The Mass Missile,0.956,0.399
spotify:track:1syD0C3LrRfsgsynm9TAX6,"Kanashimi Wo Yasashisa Ni (From ""Naruto"")",Rainych,0.785,0.368
spotify:track:5Do3qmFMpCjVLmtLhmj3a1,ラヴァーズ,7!!,0.953,0.647
spotify:track:4rGTjb8dflV40zgEwg6TKz,紅蓮（「NARUTO-ナルト- 疾風伝」OP ver.）,DOES,0.953,0.697
spotify:track:2BlDX1yfT0ea5wo0vjCKKa,光るなら,Goose house,0.879,0.571
spotify:track:3PcKYVcZNSsLqI1xzXV5Aq,Diver,NICO Touches the Walls,0.915,0.478
spotify:track:68XJP1sxQ5aiwbDJ8McUSr,departure!,Masatoshi Ono,0.925,0.484
spotify:track:3YOZLPRiTuYgItSGO41gPT,FLY HIGH!!,BURNOUT SYNDROMES,0.961,0.355
spotify:track:2zwZPlMKb1vaFcQK6PpMtP,センチメートル,the peggies,0.922,0.828
